year;country;number
2008;Cayman Islands;1
2008;Chile;3
2008;China;67
2008;Colombia;1
2008;Cyprus;1
2008;Czech Republic;1
2008;Denmark;1
2008;Egypt;4
2008;France;13
2008;Georgia;1
2008;Germany;36
2008;Hungary;1
2008;India;36
2008;Indonesia;3
2008;Ireland;3
2008;Israel;6
2008;Italy;10
2008;Japan;18
2008;Kazakhstan;7
2008;Kuwait;2
2008;Lebanon;2
2008;Malaysia;12
2008;Mexico;8
2008;Netherlands;3
2008;New Zealand;2
2008;Nigeria;1
2008;Norway;4
2008;Philippines;2
2008;Poland;3
2008;Portugal;2
2008;Romania;1
2008;Russia;64
2008;Saudi Arabia;8
2008;South Africa;3
2008;South Korea;8
2008;Spain;12
2008;Sweden;6
2008;Switzerland;19
2008;Taiwan;6
2008;Thailand;3
2008;Turkey;27
2008;Ukraine;5
2008;United Arab Emirates;5
2008;United Kingdom;38
2008;United States of America;368
2008;Venezuela;2
2009;Argentina;1
2009;Australia;10
2009;Austria;3
2009;Bahamas;1
2009;Belgium;1
2009;Brazil;12
2009;Canada;15
2009;Cayman Islands;1
2009;Chile;3
2009;China;48
2009;Colombia;1
2009;Czech Republic;1
2009;Denmark;2
2009;Egypt;3
2009;France;11
2009;Georgia;1
2009;Germany;39
2009;India;21
2009;Indonesia;3
2009;Ireland;3
2009;Israel;7
2009;Italy;10
2009;Japan;15
2009;Kazakhstan;3
2009;Kuwait;2
2009;Lebanon;2
2009;Malaysia;8
2009;Mexico;9
2009;Netherlands;2
2009;New Zealand;2
2009;Nigeria;2
2009;Norway;4
2009;Philippines;2
2009;Poland;2
2009;Portugal;1
2009;Russia;29
2009;Saudi Arabia;9
2009;South Africa;3
2009;South Korea;4
2009;Spain;10
2009;Sweden;5
2009;Switzerland;14
2009;Taiwan;5
2009;Thailand;3
2009;Turkey;13
2009;Ukraine;4
2009;United Arab Emirates;4
2009;United Kingdom;34
2009;United States of America;323
2009;Venezuela;2
2010;Argentina;1
2010;Australia;11
2010;Austria;3
2010;Bahamas;1
2010;Belgium;1
2010;Brazil;16
2010;Canada;21
2010;Cayman Islands;1
2010;Chile;4
2010;China;97
2010;Colombia;1
2010;Czech Republic;2
2010;Denmark;2
2010;Egypt;4
2010;Finland;1
2010;France;13
2010;Georgia;1
2010;Germany;42
2010;Hong Kong SAR;1
2010;India;47
2010;Indonesia;4
2010;Ireland;5
2010;Israel;7
2010;Italy;11
2010;Japan;22
2010;Kazakhstan;7
2010;Lebanon;3
2010;Malaysia;13
2010;Mexico;9
2010;Netherlands;3
2010;New Zealand;2
2010;Nigeria;1
2010;Norway;4
2010;Pakistan;1
2010;Philippines;2
2010;Poland;5
2010;Portugal;2
2010;Romania;1
2010;Russia;56
2010;Saudi Arabia;9
2010;South Africa;3
2010;South Korea;10
2010;Spain;9
2010;Sweden;6
2010;Switzerland;23
2010;Taiwan;13
2010;Thailand;3
2010;Turkey;28
2010;Ukraine;5
2010;United Arab Emirates;4
2010;United Kingdom;41
2010;United States of America;388
2010;Venezuela;2
2011;Argentina;2
2011;Australia;15
2011;Austria;4
2011;Belgium;1
2011;Brazil;26
2011;Canada;21
2011;Cayman Islands;1
2011;Chile;3
2011;China;147
2011;Colombia;1
2011;Cyprus;1
2011;Czech Republic;1
2011;Denmark;2
2011;Egypt;7
2011;France;14
2011;Georgia;1
2011;Germany;40
2011;India;45
2011;Indonesia;5
2011;Ireland;3
2011;Israel;8
2011;Italy;11
2011;Japan;24
2011;Kazakhstan;7
2011;Kuwait;1
2011;Lebanon;3
2011;Malaysia;14
2011;Mexico;9
2011;Netherlands;4
2011;New Zealand;2
2011;Nigeria;2
2011;Norway;4
2011;Philippines;4
2011;Poland;4
2011;Portugal;3
2011;Russia;91
2011;Saudi Arabia;8
2011;South Africa;3
2011;South Korea;14
2011;Spain;11
2011;Sweden;6
2011;Switzerland;20
2011;Taiwan;13
2011;Thailand;3
2011;Turkey;36
2011;Ukraine;8
2011;United Arab Emirates;4
2011;United Kingdom;43
2011;United States of America;395
2011;Venezuela;2
2012;Argentina;6
2012;Australia;13
2012;Austria;4
2012;Bahamas;1
2012;Belgium;1
2012;Brazil;33
2012;British Virgin Islands;1
2012;Canada;21
2012;Cayman Islands;1
2012;Chile;5
2012;China;139
2012;Colombia;1
2012;Cyprus;1
2012;Czech Republic;2
2012;Denmark;3
2012;Dominican Republic;1
2012;Egypt;6
2012;Finland;1
2012;France;19
2012;Georgia;1
2012;Germany;45
2012;India;42
2012;Indonesia;10
2012;Ireland;4
2012;Israel;8
2012;Italy;12
2012;Japan;21
2012;Kazakhstan;5
2012;Kuwait;4
2012;Lebanon;3
2012;Malaysia;15
2012;Mexico;9
2012;Morocco;2
2012;Netherlands;4
2012;New Zealand;1
2012;Nigeria;2
2012;Norway;5
2012;Peru;2
2012;Philippines;6
2012;Poland;4
2012;Portugal;3
2012;Russia;86
2012;Saudi Arabia;8
2012;South Africa;2
2012;South Korea;19
2012;Spain;12
2012;Sweden;6
2012;Switzerland;31
2012;Taiwan;15
2012;Thailand;3
2012;Turkey;34
2012;Ukraine;9
2012;United Arab Emirates;5
2012;United Kingdom;51
2012;United States of America;416
2012;Venezuela;1
2013;Angola;1
2013;Argentina;7
2013;Australia;15
2013;Austria;5
2013;Bahamas;1
2013;Belgium;1
2013;Brazil;35
2013;British Virgin Islands;1
2013;Canada;25
2013;Cayman Islands;1
2013;Chile;14
2013;China;174
2013;Colombia;2
2013;Cyprus;1
2013;Czech Republic;3
2013;Denmark;6
2013;Dominican Republic;1
2013;Egypt;6
2013;Finland;1
2013;France;28
2013;Georgia;1
2013;Germany;46
2013;Guernsey;1
2013;India;50
2013;Indonesia;20
2013;Ireland;4
2013;Israel;13
2013;Italy;18
2013;Japan;18
2013;Kazakhstan;7
2013;Kuwait;4
2013;Lebanon;3
2013;Malaysia;24
2013;Mexico;14
2013;Morocco;2
2013;Nepal;1
2013;Netherlands;4
2013;New Zealand;2
2013;Nigeria;2
2013;Norway;5
2013;Peru;8
2013;Philippines;10
2013;Poland;4
2013;Portugal;3
2013;Romania;1
2013;Russia;99
2013;Saudi Arabia;9
2013;South Africa;6
2013;South Korea;20
2013;Spain;17
2013;Sweden;7
2013;Switzerland;40
2013;Taiwan;17
2013;Thailand;9
2013;Turkey;41
2013;Ukraine;9
2013;United Arab Emirates;8
2013;United Kingdom;55
2013;United States of America;430
2013;Venezuela;2
2013;Vietnam;1
2014;Algeria;1
2014;Angola;1
2014;Argentina;5
2014;Australia;23
2014;Austria;5
2014;Bahamas;1
2014;Belgium;1
2014;Bermuda;1
2014;Brazil;54
2014;British Virgin Islands;1
2014;Canada;27
2014;Cayman Islands;1
2014;Chile;11
2014;China;215
2014;Colombia;2
2014;Cyprus;1
2014;Czech Republic;5
2014;Denmark;6
2014;Dominican Republic;1
2014;Egypt;7
2014;Finland;4
2014;France;42
2014;Georgia;1
2014;Germany;57
2014;Guernsey;1
2014;India;49
2014;Indonesia;16
2014;Ireland;4
2014;Israel;14
2014;Italy;30
2014;Japan;25
2014;Kazakhstan;7
2014;Kuwait;3
2014;Lebanon;3
2014;Lithuania;1
2014;Malaysia;32
2014;Mexico;14
2014;Morocco;3
2014;Nepal;1
2014;Netherlands;4
2014;New Zealand;2
2014;Nigeria;4
2014;Norway;6
2014;Oman;1
2014;Peru;8
2014;Philippines;9
2014;Poland;4
2014;Portugal;3
2014;Romania;1
2014;Russia;105
2014;Saudi Arabia;8
2014;South Africa;7
2014;South Korea;26
2014;Spain;23
2014;Sweden;10
2014;Switzerland;54
2014;Taiwan;23
2014;Tanzania;1
2014;Thailand;9
2014;Turkey;23
2014;U.S. Virgin Islands;1
2014;Uganda;1
2014;Ukraine;8
2014;United Arab Emirates;12
2014;United Kingdom;70
2014;United States of America;485
2014;Venezuela;2
2014;Vietnam;1
2015;Algeria;1
2015;Angola;1
2015;Argentina;5
2015;Australia;24
2015;Austria;4
2015;Bahamas;1
2015;Bahrain;1
2015;Belgium;2
2015;Bermuda;1
2015;Brazil;45
2015;British Virgin Islands;1
2015;Canada;32
2015;Cayman Islands;1
2015;Chile;11
2015;China;285
2015;Colombia;2
2015;Cyprus;1
2015;Czech Republic;5
2015;Denmark;5
2015;Dominican Republic;1
2015;Egypt;7
2015;Finland;5
2015;France;47
2015;Georgia;1
2015;Germany;73
2015;Guatemala;1
2015;Guernsey;1
2015;India;81
2015;Indonesia;19
2015;Ireland;4
2015;Israel;13
2015;Italy;34
2015;Japan;22
2015;Kazakhstan;7
2015;Kuwait;3
2015;Lebanon;3
2015;Liechtenstein;1
2015;Lithuania;1
2015;Malaysia;34
2015;Mexico;14
2015;Morocco;2
2015;Nepal;1
2015;Netherlands;7
2015;New Zealand;2
2015;Nigeria;5
2015;Norway;8
2015;Oman;1
2015;Peru;6
2015;Philippines;11
2015;Poland;4
2015;Portugal;3
2015;Romania;2
2015;Russia;79
2015;Saudi Arabia;11
2015;South Africa;7
2015;South Korea;29
2015;Spain;21
2015;Sweden;14
2015;Switzerland;59
2015;Taiwan;29
2015;Tanzania;2
2015;Thailand;14
2015;Turkey;30
2015;Uganda;1
2015;Ukraine;5
2015;United Arab Emirates;15
2015;United Kingdom;71
2015;United States of America;527
2015;Venezuela;2
2015;Vietnam;1
2016;Algeria;1
2016;Angola;1
2016;Argentina;5
2016;Australia;22
2016;Austria;5
2016;Bahamas;1
2016;Bahrain;1
2016;Belgium;3
2016;Bermuda;1
2016;Brazil;26
2016;British Virgin Islands;1
2016;Canada;26
2016;Cayman Islands;1
2016;Chile;10
2016;China;326
2016;Colombia;2
2016;Cyprus;1
2016;Czech Republic;5
2016;Denmark;5
2016;Dominican Republic;1
2016;Egypt;5
2016;Finland;5
2016;France;42
2016;Georgia;1
2016;Germany;91
2016;Guernsey;1
2016;India;78
2016;Indonesia;16
2016;Ireland;4
2016;Israel;12
2016;Italy;37
2016;Japan;25
2016;Kazakhstan;7
2016;Lebanon;3
2016;Liechtenstein;1
2016;Malaysia;31
2016;Mexico;13
2016;Morocco;2
2016;Nepal;1
2016;Netherlands;8
2016;New Zealand;2
2016;Nigeria;5
2016;Norway;9
2016;Peru;3
2016;Philippines;11
2016;Poland;3
2016;Portugal;1
2016;Qatar;1
2016;Romania;1
2016;Russia;69
2016;Saudi Arabia;7
2016;South Africa;6
2016;South Korea;30
2016;Spain;22
2016;Sweden;15
2016;Switzerland;62
2016;Taiwan;23
2016;Tanzania;1
2016;Thailand;14
2016;Turkey;29
2016;Ukraine;5
2016;United Arab Emirates;16
2016;United Kingdom;70
2016;United States of America;533
2016;Venezuela;2
2016;Vietnam;1
2017;Algeria;1
2017;Angola;1
2017;Argentina;8
2017;Australia;30
2017;Austria;9
2017;Bahamas;1
2017;Bahrain;1
2017;Belgium;2
2017;Bermuda;1
2017;Brazil;38
2017;British Virgin Islands;1
2017;Canada;31
2017;Cayman Islands;1
2017;Chile;11
2017;China;408
2017;Colombia;2
2017;Cyprus;1
2017;Czech Republic;6
2017;Denmark;5
2017;Dominican Republic;1
2017;Egypt;6
2017;Finland;6
2017;France;40
2017;Georgia;1
2017;Germany;94
2017;Guernsey;1
2017;India;90
2017;Indonesia;17
2017;Ireland;4
2017;Israel;13
2017;Italy;37
2017;Japan;31
2017;Kazakhstan;7
2017;Kuwait;3
2017;Lebanon;2
2017;Liechtenstein;1
2017;Malaysia;36
2017;Mexico;14
2017;Morocco;3
2017;Nepal;1
2017;Netherlands;9
2017;New Zealand;2
2017;Nigeria;3
2017;Norway;9
2017;Oman;2
2017;Peru;5
2017;Philippines;13
2017;Poland;4
2017;Portugal;1
2017;Qatar;2
2017;Romania;1
2017;Russia;87
2017;Saudi Arabia;10
2017;Slovakia;1
2017;South Africa;8
2017;South Korea;37
2017;Spain;25
2017;Sweden;20
2017;Switzerland;67
2017;Taiwan;29
2017;Tanzania;1
2017;Thailand;18
2017;Turkey;28
2017;Turks and Caicos Islands;1
2017;Ukraine;6
2017;United Arab Emirates;18
2017;United Kingdom;75
2017;United States of America;560
2017;Venezuela;1
2017;Vietnam;2
2018;Algeria;1
2018;Angola;1
2018;Argentina;10
2018;Australia;36
2018;Austria;10
2018;Bahamas;1
2018;Bahrain;1
2018;Belgium;2
2018;Brazil;37
2018;British Virgin Islands;1
2018;Cambodia;1
2018;Canada;39
2018;Cayman Islands;2
2018;Chile;10
2018;China;461
2018;Colombia;2
2018;Cyprus;1
2018;Czech Republic;6
2018;Denmark;9
2018;Dominican Republic;1
2018;Egypt;5
2018;Finland;6
2018;France;42
2018;Georgia;1
2018;Germany;106
2018;Greece;1
2018;Guernsey;1
2018;Hungary;1
2018;India;111
2018;Indonesia;17
2018;Ireland;5
2018;Israel;15
2018;Italy;35
2018;Japan;33
2018;Kazakhstan;7
2018;Kuwait;3
2018;Lebanon;3
2018;Liechtenstein;1
2018;Malaysia;40
2018;Mexico;15
2018;Morocco;2
2018;Nepal;1
2018;Netherlands;8
2018;New Zealand;2
2018;Nigeria;3
2018;Norway;10
2018;Oman;1
2018;Peru;6
2018;Philippines;12
2018;Poland;6
2018;Portugal;1
2018;Qatar;2
2018;Romania;1
2018;Russia;91
2018;Saudi Arabia;1
2018;Seychelles;1
2018;Slovakia;1
2018;South Africa;5
2018;South Korea;43
2018;Spain;28
2018;Sweden;21
2018;Switzerland;67
2018;Taiwan;32
2018;Tanzania;1
2018;Thailand;28
2018;Turkey;34
2018;Turks and Caicos Islands;1
2018;Ukraine;7
2018;United Arab Emirates;20
2018;United Kingdom;76
2018;United States of America;591
2018;Venezuela;1
2018;Vietnam;4
2019;Algeria;1
2019;Angola;1
2019;Argentina;5
2019;Australia;33
2019;Austria;10
2019;Bahamas;2
2019;Bahrain;1
2019;Belgium;3
2019;Brazil;53
2019;British Virgin Islands;1
2019;Cambodia;1
2019;Canada;37
2019;Cayman Islands;2
2019;Chile;10
2019;China;419
2019;Colombia;2
2019;Cyprus;1
2019;Czech Republic;7
2019;Denmark;8
2019;Dominican Republic;1
2019;Egypt;5
2019;Finland;6
2019;France;50
2019;Georgia;1
2019;Germany;99
2019;Greece;1
2019;Guernsey;1
2019;Hungary;2
2019;India;97
2019;Indonesia;17
2019;Ireland;4
2019;Israel;17
2019;Italy;29
2019;Japan;30
2019;Kazakhstan;7
2019;Kuwait;1
2019;Lebanon;2
2019;Liechtenstein;1
2019;Malaysia;39
2019;Mexico;16
2019;Morocco;2
2019;Nepal;1
2019;Netherlands;9
2019;New Zealand;2
2019;Nigeria;4
2019;Norway;11
2019;Oman;1
2019;Peru;6
2019;Philippines;17
2019;Poland;7
2019;Portugal;1
2019;Qatar;1
2019;Romania;1
2019;Russia;89
2019;Saudi Arabia;1
2019;Slovakia;2
2019;South Africa;5
2019;South Korea;39
2019;Spain;28
2019;Swaziland;1
2019;Sweden;21
2019;Switzerland;65
2019;Taiwan;36
2019;Tanzania;1
2019;Thailand;29
2019;Turkey;23
2019;Turks and Caicos Islands;1
2019;Ukraine;7
2019;United Arab Emirates;19
2019;United Kingdom;71
2019;United States of America;615
2019;Uruguay;1
2019;Venezuela;1
2019;Vietnam;5
2020;Algeria;1
2020;Angola;1
2020;Argentina;4
2020;Australia;28
2020;Austria;11
2020;Bahamas;2
2020;Bahrain;1
2020;Belgium;2
2020;Brazil;37
2020;British Virgin Islands;1
2020;Cambodia;1
2020;Canada;36
2020;Cayman Islands;2
2020;Chile;6
2020;China;480
2020;Colombia;2
2020;Cyprus;1
2020;Czech Republic;6
2020;Denmark;7
2020;Egypt;5
2020;Eswatini (Swaziland);1
2020;Finland;6
2020;France;42
2020;Georgia;1
2020;Germany;84
2020;Greece;1
2020;Guernsey;1
2020;Hungary;1
2020;India;94
2020;Indonesia;12
2020;Ireland;4
2020;Israel;14
2020;Italy;30
2020;Japan;24
2020;Kazakhstan;4
2020;Kuwait;1
2020;Lebanon;2
2020;Liechtenstein;1
2020;Malaysia;41
2020;Mexico;11
2020;Morocco;1
2020;Nepal;1
2020;Netherlands;10
2020;New Zealand;2
2020;Nigeria;3
2020;Norway;9
2020;Oman;1
2020;Peru;2
2020;Philippines;15
2020;Poland;6
2020;Portugal;1
2020;Qatar;1
2020;Romania;1
2020;Russia;85
2020;Slovakia;2
2020;South Africa;4
2020;South Korea;29
2020;Spain;23
2020;Sweden;20
2020;Switzerland;64
2020;Taiwan;32
2020;Tanzania;1
2020;Thailand;18
2020;Turkey;22
2020;Turks and Caicos Islands;1
2020;Ukraine;6
2020;United Arab Emirates;13
2020;United Kingdom;75
2020;United States of America;624
2020;Uruguay;1
2020;Venezuela;1
2020;Vietnam;4
2021;Algeria;1
2021;Argentina;5
2021;Armenia;1
2021;Australia;38
2021;Austria;13
2021;Bahamas;2
2021;Bahrain;1
2021;Belgium;3
2021;Bermuda;2
2021;Brazil;57
2021;British Virgin Islands;1
2021;Cambodia;1
2021;Canada;45
2021;Cayman Islands;2
2021;Chile;8
2021;China;739
2021;Colombia;2
2021;Czech Republic;10
2021;Denmark;11
2021;Egypt;5
2021;Eswatini (Swaziland);1
2021;Finland;7
2021;France;49
2021;Georgia;1
2021;Germany;117
2021;Greece;1
2021;Guernsey;1
2021;Hungary;2
2021;India;132
2021;Indonesia;18
2021;Ireland;4
2021;Israel;21
2021;Italy;46
2021;Japan;48
2021;Kazakhstan;7
2021;Lebanon;2
2021;Liechtenstein;1
2021;Malaysia;50
2021;Mexico;13
2021;Morocco;2
2021;Nepal;1
2021;Netherlands;11
2021;New Zealand;2
2021;Nigeria;3
2021;Norway;9
2021;Oman;1
2021;Peru;6
2021;Philippines;17
2021;Poland;7
2021;Portugal;1
2021;Qatar;2
2021;Romania;1
2021;Russia;97
2021;Slovakia;2
2021;South Africa;5
2021;South Korea;44
2021;Spain;30
2021;Sweden;28
2021;Switzerland;68
2021;Taiwan;40
2021;Tanzania;1
2021;Thailand;29
2021;Turkey;26
2021;Turks and Caicos Islands;1
2021;Ukraine;7
2021;United Arab Emirates;11
2021;United Kingdom;86
2021;United States of America;730
2021;Uruguay;1
2021;Vietnam;6
2022;Algeria;1
2022;Andorra;1
2022;Argentina;6
2022;Australia;41
2022;Austria;12
2022;Bahamas;4
2022;Bahrain;1
2022;Belgium;3
2022;Bermuda;2
2022;Brazil;54
2022;British Virgin Islands;1
2022;Cambodia;1
2022;Canada;45
2022;Cayman Islands;3
2022;Chile;6
2022;China;639
2022;Colombia;1
2022;Cyprus;4
2022;Czech Republic;8
2022;Denmark;10
2022;Egypt;5
2022;Eswatini (Swaziland);1
2022;Finland;7
2022;France;47
2022;Georgia;1
2022;Germany;112
2022;Greece;1
2022;Guernsey;1
2022;Hungary;2
2022;India;158
2022;Indonesia;27
2022;Ireland;4
2022;Israel;24
2022;Italy;49
2022;Japan;38
2022;Kazakhstan;7
2022;Lebanon;2
2022;Liechtenstein;1
2022;Malaysia;49
2022;Mexico;14
2022;Morocco;2
2022;Nepal;1
2022;Netherlands;10
2022;New Zealand;3
2022;Nigeria;3
2022;Norway;10
2022;Oman;1
2022;Peru;3
2022;Philippines;17
2022;Poland;5
2022;Portugal;1
2022;Qatar;2
2022;Romania;3
2022;Russia;64
2022;Slovakia;2
2022;South Africa;5
2022;South Korea;43
2022;Spain;25
2022;Sweden;32
2022;Switzerland;74
2022;Taiwan;42
2022;Tanzania;1
2022;Thailand;27
2022;Turkey;23
2022;Turks and Caicos Islands;1
2022;Ukraine;6
2022;United Arab Emirates;11
2022;United Kingdom;87
2022;United States of America;748
2022;Uruguay;3
2022;Vietnam;7
